Image,PSNR,SSIM,BRISQUE
PAN_AOI_2_Vegas_img3.tif,64.48946106252782,0.9995143585257765,"(79.81227111816406, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img4.tif,65.48893463639827,0.99959811278194,"(79.17086791992188, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img6.tif,64.73247456601352,0.999538386507708,"(79.45423126220703, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img7.tif,64.45414884575149,0.9995188385901881,"(81.8834457397461, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img8.tif,64.73694669634253,0.999533636328584,"(80.0540542602539, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img9.tif,64.70465922899331,0.9995318847757597,"(76.07666778564453, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img10.tif,64.14888492413213,0.9994852950469084,"(70.66448211669922, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img11.tif,65.07196688753511,0.9995640986700514,"(76.86930084228516, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img12.tif,64.91122053421931,0.9995476030368862,"(82.5149154663086, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img13.tif,63.73798561052446,0.9994474357153877,"(81.40257263183594, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img14.tif,62.666826338037716,0.9993200778563562,"(77.77040100097656, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img18.tif,65.75255619844603,0.9996139755081354,"(78.81500244140625, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img19.tif,66.14254436773894,0.9996319766900587,"(78.89263916015625, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img21.tif,65.87213226432124,0.9996207402218682,"(80.02455139160156, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img22.tif,64.97144086296727,0.9995512484884442,"(82.25630950927734, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img23.tif,65.74279760876152,0.9996077836173966,"(77.24343872070312, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img24.tif,67.12747759611183,0.9996844978162409,"(81.92948913574219, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img25.tif,66.0854805522128,0.9996285071550322,"(79.23170471191406, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img28.tif,65.8237774225222,0.9996126859087678,"(77.86626434326172, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img29.tif,65.886512340896,0.9996182598935682,"(81.3987808227539, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img30.tif,64.31896829486628,0.999492912022137,"(76.34705352783203, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img32.tif,66.98149986642633,0.9996785811161403,"(87.89753723144531, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img35.tif,65.72888272452653,0.9996015469673027,"(76.79139709472656, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img36.tif,64.44953810726845,0.9995293838271524,"(79.24280548095703, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img37.tif,64.98981178853123,0.9995573720697589,"(87.50927734375, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img40.tif,65.46322716105843,0.9995913287268914,"(82.5965805053711, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img42.tif,63.52432399922215,0.9994184494825897,"(78.44073486328125, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img44.tif,63.055039556745896,0.9993741689392608,"(74.41448211669922, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img45.tif,62.913149058435536,0.9993586842074917,"(74.57213592529297, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img47.tif,65.27310801123377,0.9995718826582227,"(81.36021423339844, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img48.tif,66.72992871238206,0.9996593776976181,"(92.1839370727539, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img49.tif,65.0046779809679,0.99955227949031,"(81.51332092285156, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img50.tif,64.3695485443632,0.99950458592062,"(72.70091247558594, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img51.tif,64.14914777189651,0.9994892054965137,"(71.1986083984375, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img52.tif,64.55226171773896,0.9995349659093623,"(77.62181854248047, 0.0, 0.0, 0.0)"
PAN_AOI_2_Vegas_img53.tif,66.85164693987241,0.9997144191509711,"(87.61033630371094, 0.0, 0.0, 0.0)"
